4	5	34
17	28	24
10	28	21
16	28	19
0	1	18
1	2	18
0	2	17
0	3	17
1	3	17
2	3	17
11	28	17
16	17	16
18	28	14
16	18	11
13	14	10
13	28	10
19	28	10
28	30	10
13	15	9
16	27	9
17	18	9
19	21	9
0	23	8
1	23	8
17	27	8
18	19	8
18	25	8
26	28	8
9	18	7
9	28	7
10	30	7
11	13	7
11	18	7
13	17	7
15	27	7
18	27	7
2	23	6
3	23	6
11	19	6
11	25	6
12	28	6
13	16	6
15	16	6
19	30	6
26	30	6
27	28	6
4	6	5
7	21	5
10	19	5
10	26	5
15	18	5
4	7	4
4	8	4
4	21	4
5	6	4
5	7	4
5	8	4
7	30	4
9	11	4
10	12	4
12	16	4
12	17	4
13	18	4
13	27	4
14	20	4
15	17	4
15	28	4
17	19	4
17	30	4
19	25	4
19	26	4
